Country,Year_2008_2009,Year_2009_2010,Year_2010_2011,Year_2011_2012,Year_2012_2013,Year_2013_2014,Year_2014_2015,Year_2015_2016,Year_2016_2017,Year_2017_2018,Year_2018_2019,Year_2019_2020,Year_2020_2021,Year_2021_2022,Year_2022_2023,Year_2023_2024,Year_2024_2025
 AFGHANISTAN ,182344.16,220362.72,192084.0,242912.0,256914.0,287888.0,258130.0,343603.0,339682.0,457689.0,499237.0,708458.0,610620.0,412904.0,349498.0,294271.0,52979.0
 ALBANIA ,5589.7,4027.54,5227.0,6067.0,9516.0,11452.0,11864.0,15761.0,17712.0,18900.0,25842.0,31305.0,34619.0,41040.0,282091.0,955574.0,10653.0
 ALGERIA ,299636.27,273710.63,355787.0,399230.0,593470.0,645014.0,649379.0,513489.0,564344.0,530692.0,657529.0,431687.0,439810.0,523801.0,493477.0,702538.0,119886.0
 AMERI SAMOA ,58.26,40.45,93.0,975.0,199.0,31.0,117.0,100.0,52.0,200.0,18.0,91.0,433.0,578.0,23.0,3440.0,814.0
 ANDORRA ,412.37,96.49,120.0,125.0,59.0,74.0,156.0,77.0,97.0,3076.0,232.0,55.0,15.0,37.0,181.0,262.0,262.0
 ANGOLA ,170381.68,300573.43,306051.0,220532.0,265962.0,326612.0,337766.0,145440.0,103721.0,151361.0,197413.0,201922.0,192123.0,337798.0,499169.0,578304.0,62786.0
 ANGUILLA ,39.04,23.2,77.0,54.0,79.0,14.0,30.0,10.0,28.0,324.0,113.0,32.0,38.0,68.0,34.0,220.0,19.0
 ANTARTICA ,0.0,47.57,77.0,31.0,93.0,37.0,2.0,1.0,33.0,65.0,2.0,15.0,769.0,56.0,84.0,215.0,3.0
 ANTIGUA ,1314.82,692.58,429.0,418.0,738.0,1340.0,1279.0,1680.0,1328.0,1395.0,1887.0,1550.0,1191.0,1846.0,2340.0,12342.0,806.0
 ARGENTINA ,160966.71,127646.97,184270.0,227644.0,294094.0,370833.0,281084.0,350982.0,342382.0,456703.0,391033.0,542862.0,508762.0,1066132.0,766711.0,899052.0,145477.0
 ARMENIA ,9221.8,8755.04,8996.0,18382.0,22043.0,44205.0,56036.0,15002.0,20327.0,21462.0,18076.0,28605.0,51462.0,20437.0,49566.0,78814.0,24815.0
 ARUBA ,900.86,699.95,680.0,1274.0,1569.0,2014.0,2379.0,4546.0,5307.0,4153.0,6748.0,7003.0,2069.0,4639.0,11813.0,12232.0,1562.0
 AUSTRALIA ,657633.39,655895.11,780298.0,1199022.0,1279380.0,1395849.0,1700121.0,2133080.0,1982786.0,2585652.0,2456009.0,2019789.0,2992764.0,6184105.0,5555483.0,6566764.0,858060.0
 AUSTRIA ,232281.02,120039.04,269235.0,163132.0,178811.0,203707.0,221800.0,222763.0,256860.0,296473.0,337375.0,322885.0,335433.0,420511.0,1017757.0,941251.0,228775.0
 AZERBAIJAN ,15910.2,14202.1,17528.0,34982.0,47495.0,74670.0,67597.0,21822.0,27054.0,21714.0,30627.0,37606.0,37622.0,27149.0,81373.0,74290.0,11918.0
 BAHAMAS ,1034.54,411243.13,993038.0,1056149.0,1449977.0,130219.0,73343.0,7892.0,3982.0,5204.0,4258.0,43132.0,3373.0,6012.0,10344.0,88348.0,1217.0
 BAHARAIN IS ,131407.49,118507.43,293277.0,211834.0,328367.0,376321.0,289651.0,425940.0,316259.0,358885.0,521482.0,396962.0,390363.0,670605.0,778780.0,754173.0,111940.0
 BANGLADESH PR ,1131721.47,1150106.83,1475248.0,1838669.0,2798258.0,3741126.0,3944038.0,3952726.0,4574044.0,5553699.0,6439152.0,5817661.0,7150929.0,12053473.0,9778451.0,9161333.0,1488646.0
 BARBADOS ,1761.65,2041.99,2482.0,3616.0,3193.0,3896.0,6240.0,6896.0,8294.0,8217.0,8708.0,9043.0,8200.0,12079.0,19253.0,15595.0,5038.0
 BELARUS ,16350.95,17968.98,16496.0,59739.0,30111.0,32544.0,29369.0,23474.0,26930.0,30690.0,38997.0,39502.0,46137.0,48683.0,35192.0,36288.0,6563.0
 BELGIUM ,2030939.59,1775704.94,2634704.0,3420615.0,2992640.0,3868686.0,3371799.0,3295875.0,3791504.0,4000725.0,4700768.0,4116420.0,3868278.0,7522465.0,7099803.0,6487206.0,873490.0
 BELIZE ,1312.25,1168.78,6525.0,12549.0,12809.0,13402.0,14970.0,9513.0,10223.0,8684.0,11886.0,10106.0,6965.0,11382.0,12837.0,11146.0,1959.0
 BENIN ,93677.5,104637.95,119940.0,308301.0,260476.0,463642.0,303851.0,279795.0,300125.0,308926.0,298715.0,229744.0,410245.0,534781.0,720409.0,621582.0,133101.0
 BERMUDA ,351.17,390.76,411.0,481.0,734.0,1574.0,1668.0,1691.0,2819.0,2008.0,2204.0,1759.0,3311.0,4125.0,4052.0,5038.0,614.0
 BHUTAN ,50927.26,56085.31,80152.0,110440.0,126739.0,215495.0,205103.0,306808.0,341354.0,352002.0,459133.0,523529.0,519322.0,660459.0,866258.0,797994.0,155901.0
 BOLIVIA ,4382.33,4617.34,7144.0,12072.0,31193.0,32033.0,43314.0,48653.0,53259.0,67857.0,73488.0,80389.0,69620.0,87736.0,61950.0,59066.0,11044.0
 BOSNIA-HRZGOVIN ,2449.17,1279.94,1450.0,2798.0,3762.0,7041.0,10927.0,12948.0,8794.0,9914.0,11914.0,10848.0,11161.0,12679.0,13886.0,24217.0,2114.0
 BOTSWANA ,11704.04,10426.09,15288.0,24181.0,28005.0,33226.0,27079.0,34149.0,51686.0,69840.0,125352.0,126532.0,127412.0,207736.0,135225.0,90421.0,30713.0
 BR VIRGN IS ,17119.26,38970.64,189.0,479.0,300.0,243.0,405.0,554.0,276.0,492.0,7263.0,351.0,188.0,267.0,366.0,529.0,262.0
 BRAZIL ,1187440.98,1136483.36,1833586.0,2757688.0,3287202.0,3387064.0,3634024.0,1726086.0,1609748.0,1974731.0,2661743.0,2811824.0,3136034.0,4834956.0,7960684.0,4980913.0,1027996.0
 BRUNEI ,7994.52,11605.02,10525.0,406236.0,21830.0,19611.0,25609.0,18573.0,28721.0,40713.0,39346.0,40907.0,46469.0,32169.0,22.0,3167.0,6312.0
 BULGARIA ,33011.76,24128.28,31737.0,52059.0,85393.0,101802.0,163556.0,94946.0,160506.0,111677.0,147874.0,112420.0,126032.0,184187.0,55772.0,55800.0,33115.0
 BURKINA FASO ,21960.15,17337.36,20830.0,40626.0,46830.0,62445.0,68849.0,71611.0,77113.0,95653.0,127193.0,109075.0,153836.0,146552.0,170058.0,185187.0,18286.0
 BURUNDI ,6494.28,5964.6,7342.0,11666.0,17720.0,18550.0,19256.0,19000.0,24027.0,24546.0,34080.0,41436.0,47468.0,45052.0,141940.0,99983.0,5407.0
 C AFRI REP ,1122.73,2409.5,1597.0,3052.0,4584.0,4615.0,4736.0,6055.0,6898.0,19251.0,19131.0,39527.0,17567.0,15044.0,34539.0,31805.0,2590.0
 CAMBODIA ,21507.71,21553.19,30483.0,47753.0,60999.0,85809.0,87410.0,93502.0,70496.0,78293.0,137082.0,133177.0,124752.0,148094.0,16583.0,54003.0,25393.0
 CAMEROON ,42335.75,36388.98,55158.0,95134.0,136482.0,157036.0,152553.0,124568.0,99824.0,125015.0,124948.0,162125.0,206335.0,300937.0,177043.0,153434.0,78818.0
 CANADA ,624678.79,532057.94,613989.0,992374.0,1108246.0,1234404.0,1343068.0,1320680.0,1343585.0,1615354.0,1993563.0,2021484.0,2191316.0,2807082.0,448318.0,375987.0,536225.0
 CANARY IS ,0.0,27.25,64.0,3.0,4.0,2.0,11.0,425.5,840.0,953.0,1111.0,1542.0,2453.0,4674.0,3293897.0,3183685.0,542.0
 CAPE VERDE IS ,175.76,330.17,226.0,220.0,513.0,870.0,2502.0,937.0,3180.0,2594.0,3047.0,4698.0,3188.0,4945.0,3600.0,2612.0,55013.0
 CAYMAN IS ,265.85,376.82,130.0,449.0,210.0,1937.0,4030.0,2337.0,25804.0,17598.0,26314.0,41728.0,43786.0,39456.0,4566.0,5900.0,14916.0
 CHAD ,7188.97,3269.72,5441.0,18848.0,25203.0,20156.0,24931.0,28350.0,452188.0,492191.0,691209.0,561174.0,595017.0,880788.0,46303.0,66195.0,136398.0
 CHANNEL IS ,22.18,115679.59,231337.0,9.0,32.0,10.0,0.0,3412546.0,6825092.0,8599430.0,11728911.0,11767331.0,15720159.0,15821548.0,936922.0,979460.0,2135706.0
 CHILE ,177677.13,131888.43,6431514.0,251439.0,375900.0,402825.0,346116.0,445108.0,13.0,9.666666666666666,6.333333333333333,3.0,4.0,5.0,12277399.0,13796645.0,13796645.0
 CHINA P RP ,4266133.36,5471392.87,534.0,8747082.0,7352956.0,9056109.0,7303043.0,5893941.0,525985.0,605415.0,781088.0,739769.0,0.0,1.0,2.0,3.0,3.0
 CHRISTMAS IS. ,96.56,741.68,422.0,9.0,15.0,4.0,6.0,6958.5,13911.0,19157.0,13452.0,13384.0,638460.0,1026658.0,10.0,11.0,188796.0
 COCOS IS ,0.72,2.97,255502.0,389.0,27.0,3.0,676248.0,579540.0,133524.0,145082.0,212269.0,250052.0,13491.0,17207.0,1158747.0,1009130.0,3223.0
 COLOMBIA ,168762.56,184004.33,3922.0,429357.0,496578.0,611532.0,10845.0,11167.0,90969.0,75222.0,93316.0,80060.0,317983.0,423430.0,32289.0,23162.0,74850.0
 COMOROS ,11732.01,4396.85,3058.0,5278.0,11256.0,8242.0,155943.0,208516.0,100.0,115.0,188.0,222.0,81208.0,120170.0,506600.0,480453.0,16892.0
 CONGO D. REP. ,7048.26,4719.24,110032.0,3501.0,80409.0,109910.0,155250.0,108921.0,106857.0,86051.0,95310.0,89797.0,53.0,30.0,143741.0,145815.0,38.0
 CONGO P REP ,96329.64,93001.51,19.0,163664.0,108264.0,127546.0,196.0,33.0,281167.0,329774.0,314652.0,294060.0,84385.0,109968.0,110.0,190.0,29147.0
