 Department of Commerce ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Export Import Data Bank ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Export :: Country-wise ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 S.No. , Country ,2008-2009, %Share ,2009-2010, %Share , 2010-2011 , %Share , 2011-2012 , %Share , 2012-2013 , %Share , 2013-2014 , %Share , 2014-2015 , %Share , 2015-2016 , %Share , 2016-2017 , %Share , 2017-2018 , %Share , 2018-2019 , %Share , 2019-2020 , %Share , 2020-2021 , %Share , 2021-2022 , %Share , 2022-2023 , %Share , 2023-2024 , %Share , 2024-2025 , %Share 
 1 , AFGHANISTAN ,182344.16, 0 ,220362.72, 0 ," 192,084 ", 0 ," 242,912 ", 0 ," 256,914 ", 0 ," 287,888 ", 0 ," 258,130 ", 0 ," 343,603 ", 0 ," 339,682 ", 0 ," 457,689 ", 0 ," 499,237 ", 0 ," 708,458 ", 0 ," 610,620 ", 0 ," 412,904 ", 0 ," 349,498 ", 0 ," 294,271 ", 0 ," 52,979 ", 0 
 2 , ALBANIA ,5589.70, 0 ,4027.54, 0 ," 5,227 ", 0 ," 6,067 ", 0 ," 9,516 ", 0 ," 11,452 ", 0 ," 11,864 ", 0 ," 15,761 ", 0 ," 17,712 ", 0 ," 18,900 ", 0 ," 25,842 ", 0 ," 31,305 ", 0 ," 34,619 ", 0 ," 41,040 ", 0 ," 282,091 ", 0 ," 955,574 ", 0 ," 10,653 ", 0 
 3 , ALGERIA ,299636.27, 0 ,273710.63, 0 ," 355,787 ", 0 ," 399,230 ", 0 ," 593,470 ", 0 ," 645,014 ", 0 ," 649,379 ", 0 ," 513,489 ", 0 ," 564,344 ", 0 ," 530,692 ", 0 ," 657,529 ", 0 ," 431,687 ", 0 ," 439,810 ", 0 ," 523,801 ", 0 ," 493,477 ", 0 ," 702,538 ", 0 ," 119,886 ", 0 
 4 , AMERI SAMOA ,58.26, 0 ,40.45, -   , 93 , 0 , 975 , 0 , 199 , 0 , 31 , -   , 117 , 0 , 100 , 0 , 52 , -   , 200 , 0 , 18 , -   , 91 , -   , 433 , 0 , 578 , 0 , 23 , -   ," 3,440 ", 0 , 814 , 0 
 5 , ANDORRA ,412.37, 0 ,96.49, 0 , 120 , 0 , 125 , 0 , 59 , -   , 74 , -   , 156 , 0 , 77 , -   , 97 , 0 ," 3,076 ", 0 , 232 , 0 , 55 , -   , 15 , -   , 37 , -   , 181 , 0 , 262 , 0 ,,
 6 , ANGOLA ,170381.68, 0 ,300573.43, 0 ," 306,051 ", 0 ," 220,532 ", 0 ," 265,962 ", 0 ," 326,612 ", 0 ," 337,766 ", 0 ," 145,440 ", 0 ," 103,721 ", 0 ," 151,361 ", 0 ," 197,413 ", 0 ," 201,922 ", 0 ," 192,123 ", 0 ," 337,798 ", 0 ," 499,169 ", 0 ," 578,304 ", 0 ," 62,786 ", 0 
 7 , ANGUILLA ,39.04, -   ,23.20, -   , 77 , 0 , 54 , -   , 79 , -   , 14 , -   , 30 , -   , 10 , -   , 28 , -   , 324 , 0 , 113 , -   , 32 , -   , 38 , -   , 68 , -   , 34 , -   , 220 , 0 , 19 , -   
 8 , ANTARTICA ,,,47.57, 0 , 77 , 0 , 31 , -   , 93 , 0 , 37 , -   , 2 , -   , 1 , -   ,,, 65 , -   , 2 , -   , 15 , -   , 769 , 0 , 56 , -   , 84 , -   , 215 , 0 , 3 , -   
 9 , ANTIGUA ,1314.82, 0 ,692.58, 0 , 429 , 0 , 418 , 0 , 738 , 0 ," 1,340 ", 0 ," 1,279 ", 0 ," 1,680 ", 0 ," 1,328 ", 0 ," 1,395 ", 0 ," 1,887 ", 0 ," 1,550 ", 0 ," 1,191 ", 0 ," 1,846 ", 0 ," 2,340 ", 0 ," 12,342 ", 0 , 806 , 0 
 10 , ARGENTINA ,160966.71, 0 ,127646.97, 0 ," 184,270 ", 0 ," 227,644 ", 0 ," 294,094 ", 0 ," 370,833 ", 0 ," 281,084 ", 0 ," 350,982 ", 0 ," 342,382 ", 0 ," 456,703 ", 0 ," 391,033 ", 0 ," 542,862 ", 0 ," 508,762 ", 0 ," 1,066,132 ", 0 ," 766,711 ", 0 ," 899,052 ", 0 ," 145,477 ", 0 
 11 , ARMENIA ,9221.80, 0 ,8755.04, 0 ," 8,996 ", 0 ," 18,382 ", 0 ," 22,043 ", 0 ," 44,205 ", 0 ," 56,036 ", 0 ," 15,002 ", 0 ," 20,327 ", 0 ," 21,462 ", 0 ," 18,076 ", 0 ," 28,605 ", 0 ," 51,462 ", 0 ," 20,437 ", 0 ," 49,566 ", 0 ," 78,814 ", 0 ," 24,815 ", 0 
 12 , ARUBA ,900.86, 0 ,699.95, 0 , 680 , 0 ," 1,274 ", 0 ," 1,569 ", 0 ," 2,014 ", 0 ," 2,379 ", 0 ," 4,546 ", 0 ," 5,307 ", 0 ," 4,153 ", 0 ," 6,748 ", 0 ," 7,003 ", 0 ," 2,069 ", 0 ," 4,639 ", 0 ," 11,813 ", 0 ," 12,232 ", 0 ," 1,562 ", 0 
 13 , AUSTRALIA ,657633.39, 1 ,655895.11, 1 ," 780,298 ", 1 ," 1,199,022 ", 1 ," 1,279,380 ", 1 ," 1,395,849 ", 1 ," 1,700,121 ", 1 ," 2,133,080 ", 1 ," 1,982,786 ", 1 ," 2,585,652 ", 1 ," 2,456,009 ", 1 ," 2,019,789 ", 1 ," 2,992,764 ", 1 ," 6,184,105 ", 2 ," 5,555,483 ", 2 ," 6,566,764 ", 2 ," 858,060 ", 1 
